Leidimo serija ir nr.,Regionas,Rajonas,Nuosavybės forma,Urėdija,Girininkija,Kvartalas,Sklypai,Plotas,Kad. vietovė,Kad. blokas,Kad. nr.,Kirtimo rūšis,Galiojimo pradžia,Galiojimo pabaiga
A - 11555,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,30,14,1.8,0,0,0,Plynas kirtimas,2017-06-19,2017-12-31
A - 11572,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,13,20,1.3,0,0,0,Plynas kirtimas,2017-11-02,2017-12-31
A - 11572,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,13,4,0.3,0,0,0,Atvejinis kirtimas,2017-11-02,2017-12-31
A - 11572,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,13,8b,0.4,0,0,0,Plynas kirtimas,2017-11-02,2017-12-31
A - 11572,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,13,8c,1.0,0,0,0,Plynas kirtimas,2017-11-02,2017-12-31
A - 26999,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,462,"2a,2c,3,5b,5d",3.7,3347,0005,0472,Kraštovaizdžio formavimo kirtimas (TN),2017-01-01,2017-12-31
A - 26999,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,462,3a,0.1,3347,0005,0472,Plynas sanitarinis kirtimas (PN),2017-01-01,2017-12-31
A - 26999,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,462,5a,0.3,3347,0005,0472,Atrankinis kirtimas,2017-01-01,2017-12-31
A - 26999,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,462,9a,0.5,3347,0005,0472,Atrankinis kirtimas,2017-01-01,2017-12-31
A - 32302,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,470,"20,34a,43a",1.0,3347,0004,0069,Plynas kirtimas,2017-01-10,2017-12-31
A - 32302,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,470,24b,0.2,3347,0004,0069,Plynas kirtimas,2017-01-10,2017-12-31
A - 32302,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,470,32a,0.2,3347,0004,0069,Plynas kirtimas,2017-01-10,2017-12-31
A - 32304,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,412,11a,0.1,3340,0006,0235,Valksmos einam.k.,2017-01-13,2017-12-31
A - 32304,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,412,"11a,11b",2.4,3340,0006,0235,Einamasis kirtimas,2017-01-13,2017-12-31
