Leidimo serija ir nr.,Regionas,Rajonas,Nuosavybės forma,Urėdija,Girininkija,Kvartalas,Sklypai,Plotas,Kad. vietovė,Kad. blokas,Kad. nr.,Kirtimo rūšis,Galiojimo pradžia,Galiojimo pabaiga
122 - 3598,Panevėžio,Panevėžio rajono kontroliuojama teritorija,privati,Mažeikių miškų urėdija,Kairiškių girininkija,18,"24,33",0.8,3241,0001,0056,Plynas kirtimas,2025-03-25,2025-12-31
122 - 3599,Panevėžio,Panevėžio rajono kontroliuojama teritorija,privati,Mažeikių miškų urėdija,Kairiškių girininkija,18,"25,33",0.8,3241,0001,0057,Plynas kirtimas,2025-03-25,2025-12-31
