Leidimo serija ir nr.,Regionas,Rajonas,Nuosavybės forma,Urėdija,Girininkija,Kvartalas,Sklypai,Plotas,Kad. vietovė,Kad. blokas,Kad. nr.,Kirtimo rūšis,Galiojimo pradžia,Galiojimo pabaiga
A - 26975,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,465,38b,0.7,3347,0004,0220,Einamasis kirtimas,2016-09-26,2016-12-31
A - 26981,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,480,12,0.3,3355,0003,0127,Plynas kirtimas,2016-10-17,2016-12-31
A - 26981,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,480,30,1.1,3355,0003,0127,Atrankinis san.kirt.,2016-10-17,2016-12-31
A - 26984,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,425,8,2.0,3301,0006,0066,Plynas kirtimas,2016-10-18,2016-12-31
A - 26984,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,425,9,0.7,3301,0006,0066,Plynas kirtimas,2016-10-18,2016-12-31
A - 26985,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,425,12b,0.2,3301,0006,0066,Plynas kirtimas,2016-10-18,2016-12-31
A - 26985,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,425,4a,0.2,3301,0006,0066,Plynas kirtimas,2016-10-18,2016-12-31
A - 26986,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,461,17,1.5,3347,0005,0084,Atrankinis san.kirt.,2016-10-24,2016-12-31
A - 26986,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,461,17a,0.1,3347,0005,0084,Plynas sanitarinis kirtimas (PN),2016-10-24,2016-12-31
A - 26986,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,461,17b,0.2,3347,0005,0084,Plynas sanitarinis kirtimas (PN),2016-10-24,2016-12-31
A - 26987,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,492,23,0.5,3355,0001,0049,Plynas kirtimas,2016-11-07,2016-12-31
A - 26988,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,492,19,0.5,3355,0001,0139,Einamasis kirtimas,2016-11-07,2016-12-31
A - 26988,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,492,21,0.6,3355,0001,0139,Plynas kirtimas,2016-11-07,2016-12-31
A - 26989,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,409,48,0.4,3340,0007,0095,Plynas kirtimas,2016-11-14,2016-12-31
A - 26989,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,409,50,0.7,3340,0007,0095,Plynas kirtimas,2016-11-14,2016-12-31
A - 26989,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,409,64,0.6,3340,0007,0095,Plynas kirtimas,2016-11-14,2016-12-31
A - 26990,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,495,41,0.9,3355,0001,0171,Plynas kirtimas,2016-11-22,2016-12-31
A - 26990,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,495,44,0.2,3355,0001,0171,Plynas kirtimas,2016-11-22,2016-12-31
A - 26990,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,495,50,0.7,3355,0001,0171,Plynas kirtimas,2016-11-22,2016-12-31
A - 26991,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,495,38,0.1,3355,0001,0171,Valksmos retin.,2016-11-22,2016-12-31
A - 26991,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,495,38,1.0,3355,0001,0171,Retinimas,2016-11-22,2016-12-31
A - 26991,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,495,39,0.1,3355,0001,0171,Valksmos einam.k.,2016-11-22,2016-12-31
A - 26991,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,495,39,0.8,3355,0001,0171,Einamasis kirtimas,2016-11-22,2016-12-31
A - 26991,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,495,40a,0.1,3355,0001,0171,Valksmos einam.k.,2016-11-22,2016-12-31
A - 26991,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,495,40a,0.3,3355,0001,0171,Einamasis kirtimas,2016-11-22,2016-12-31
A - 26991,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,495,51,0.4,3355,0001,0171,Plynas kirtimas,2016-11-22,2016-12-31
A - 26992,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,468,13,0.5,3301,0004,0071,Plynas kirtimas,2016-11-22,2016-12-31
A - 26992,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,468,15,0.4,3301,0004,0071,Plynas kirtimas,2016-11-22,2016-12-31
A - 26992,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,468,17,1.1,3301,0004,0071,Plynas kirtimas,2016-11-22,2016-12-31
A - 26992,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,468,18,0.3,3301,0004,0071,Plynas kirtimas,2016-11-22,2016-12-31
A - 26992,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,468,19b,1.4,3301,0004,0071,Atrankinis san.kirt.,2016-11-22,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,15,33,0.8,0,0,0,Plynas kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,16,13,1.4,0,0,0,Plynas kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,17,19,1.6,0,0,0,Plynas kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,18,9,1.0,0,0,0,Plynas kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,2,14,0.6,0,0,0,Plynas kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,31,16,0.2,0,0,0,Atvejinis kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,31,17,0.2,0,0,0,Atvejinis kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,41,33,0.9,0,0,0,Plynas kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,45,11a,0.1,0,0,0,Atrankinis kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,45,11b,0.9,0,0,0,Plynas kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,45,18a,0.1,0,0,0,Atrankinis kirtimas,2016-01-08,2016-12-31
A - 4433,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,45,18b,0.8,0,0,0,Plynas kirtimas,2016-01-08,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,714,2,0.3,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,715,4,0.8,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,715,8,0.7,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,715,9,0.9,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,723,12,1.0,0,0,0,Atvejinis kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,723,15,0.4,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,726,18,0.3,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,726,19,0.3,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,732,2,0.6,0,0,0,Atvejinis kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,737,14a,0.5,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,737,15a,0.7,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,737,19,1.3,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,737,21,0.5,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
A - 4434,Alytaus,Alytaus rajono kontroliuojama teritorija,valstybinė,Alytaus miškų urėdija,Dušnionių girininkija,737,23,0.5,0,0,0,Plynas kirtimas,2016-01-12,2016-12-31
