Leidimo serija ir nr.,Regionas,Rajonas,Nuosavybės forma,Urėdija,Girininkija,Kvartalas,Sklypai,Plotas,Kad. vietovė,Kad. blokas,Kad. nr.,Kirtimo rūšis,Galiojimo pradžia,Galiojimo pabaiga
A - 22219,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,464,34,0.1,3301,0004,0099,Einamasis kirtimas,2016-01-04,2016-12-31
A - 22219,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,464,"35a,35b",0.9,3301,0004,0099,Plynas kirtimas,2016-01-04,2016-12-31
A - 22224,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,491,27,0.1,3355,0001,0111,Plynas kirtimas,2016-01-14,2016-12-31
A - 22224,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,491,42,0.3,3355,0001,0111,Plynas kirtimas,2016-01-14,2016-12-31
A - 22225,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,491,"26,27",1.2,3355,0001,0110,Plynas kirtimas,2016-01-14,2016-12-31
A - 22225,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,491,42,0.3,3355,0001,0110,Plynas kirtimas,2016-01-14,2016-12-31
A - 22226,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,499,"2,3",2.2,3355,0002,0067,Plynas kirtimas,2016-01-18,2016-12-31
A - 22227,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,15,"2,4",0.7,3330,0002,0218,Plynas kirtimas,2016-01-18,2016-12-31
A - 22228,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,419,36,0.1,3330,0002,0172,Einamasis kirtimas,2016-01-18,2016-12-31
A - 22228,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,419,38,0.3,3330,0002,0172,Plynas kirtimas,2016-01-18,2016-12-31
A - 22228,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,419,"38,40",1.9,3330,0002,0172,Plynas kirtimas,2016-01-18,2016-12-31
A - 22230,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,462,"9,12,13,16,16a",4.8,3347,0005,0474,Kraštovaizdžio formavimo kirtimas (TN),2016-01-18,2016-12-31
A - 22231,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,448,64,0.2,3347,0001,0458,Plynas kirtimas,2016-01-19,2016-12-31
A - 22235,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,490,21a,2.1,3355,0001,0107,Plynas kirtimas,2016-01-25,2016-12-31
A - 26701,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,490,23a,0.1,3355,0001,0313,Plynas kirtimas,2016-01-25,2016-12-31
A - 26704,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,489,"12a,16a,27b",0.8,3355,0001,0044,Plynas kirtimas,2016-01-26,2016-12-31
A - 26704,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,489,14a,0.1,3355,0001,0044,Plynas kirtimas,2016-01-26,2016-12-31
A - 26704,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,489,22a,0.2,3355,0001,0044,Plynas kirtimas,2016-01-26,2016-12-31
A - 26704,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,489,"24a,24b,24f,24g,24h,28a",2.1,3355,0001,0044,Plynas kirtimas,2016-01-26,2016-12-31
A - 26705,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,489,19,0.3,3355,0001,0044,Atvejinis kirtimas,2016-01-26,2016-12-31
A - 26707,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,482,19,0.7,3355,0003,0079,Plynas kirtimas,2016-01-29,2016-12-31
A - 26708,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,32,0.7,3301,0005,0049,Plynas kirtimas,2016-01-29,2016-12-31
A - 26712,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,496,25,0.6,3355,0001,0304,Retinimas,2016-02-04,2016-12-31
A - 26712,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,496,26,0.3,3355,0001,0304,Einamasis kirtimas,2016-02-04,2016-12-31
A - 26712,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,496,"29,32a,32b",1.8,3355,0001,0304,Plynas kirtimas,2016-02-04,2016-12-31
A - 26712,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,496,"33,35",0.5,3355,0001,0304,Atrankinis kirtimas,2016-02-04,2016-12-31
A - 26712,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,496,34,0.3,3355,0001,0304,Plynas kirtimas,2016-02-04,2016-12-31
A - 26713,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,409,42,0.9,3340,0007,0082,Plynas kirtimas,2016-02-15,2016-12-31
A - 26714,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,22,37,0.3,3330,0002,0351,Atrankinis kirtimas,2016-02-18,2016-12-31
A - 26714,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,22,"37,38",1.0,3330,0002,0351,Plynas kirtimas,2016-02-18,2016-12-31
A - 26715,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,767,"2,4",0.1,3355,0002,0295,Valksmos einam.k.,2016-02-19,2016-12-31
A - 26715,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,767,"2,4",0.9,3355,0002,0295,Einamasis kirtimas,2016-02-19,2016-12-31
A - 26715,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,767,7,0.4,3355,0002,0295,Plynas kirtimas,2016-02-19,2016-12-31
A - 26716,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,752,4a,0.4,3347,0003,0460,Atrankinis kirtimas,2016-02-19,2016-12-31
A - 26716,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,756,"4a,5a",1.0,3347,0003,0460,Plynas kirtimas,2016-02-19,2016-12-31
A - 26717,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,24,5,0.5,3330,0002,0350,Plynas kirtimas,2016-02-19,2016-12-31
A - 26717,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,24,6,0.5,3330,0002,0350,Atrankinis san.kirt.,2016-02-19,2016-12-31
A - 26721,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,756,1,0.1,3347,0003,0460,Plynas sanitarinis kirtimas (TN),2016-03-03,2016-12-31
A - 26723,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,748,1,0.2,3347,0001,0447,Plynas sanitarinis kirtimas (TN),2016-03-04,2016-12-31
A - 26723,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,748,2,0.1,3347,0001,0447,Plynas sanitarinis kirtimas (TN),2016-03-04,2016-12-31
A - 26724,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,748,6,0.2,3347,0001,0444,Plynas sanitarinis kirtimas (TN),2016-03-04,2016-12-31
A - 26730,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,15,1.6,3301,0005,0060,Plynas kirtimas,2016-03-14,2016-12-31
A - 26730,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,32,0.2,3301,0005,0060,Atrankinis kirtimas,2016-03-14,2016-12-31
A - 26731,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,15a,0.6,3301,0005,0056,Atrankinis kirtimas,2016-03-14,2016-12-31
A - 26735,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,466,17a,0.4,3347,0003,0148,Atvejinis kirtimas,2016-03-25,2016-12-31
A - 26738,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,412,11c,0.1,3340,0007,0087,Plynas sanitarinis kirtimas (PN),2016-04-01,2016-12-31
A - 26738,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,412,12b,0.1,3340,0007,0087,Plynas sanitarinis kirtimas (PN),2016-04-01,2016-12-31
A - 26738,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,412,14b,0.1,3340,0007,0087,Plynas sanitarinis kirtimas (PN),2016-04-01,2016-12-31
A - 26738,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,9,14c,0.1,3340,0007,0087,Plynas kirtimas,2016-04-01,2016-12-31
A - 26740,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,15,0.6,3301,0005,0075,Atrankinis kirtimas,2016-04-04,2016-12-31
A - 26740,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,32,0.2,3301,0005,0075,Plynas kirtimas,2016-04-04,2016-12-31
A - 26741,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,25a,0.2,3301,0005,0075,Plynas kirtimas,2016-04-04,2016-12-31
A - 26741,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,27,0.5,3301,0005,0075,Plynas sanitarinis kirtimas (PN),2016-04-04,2016-12-31
A - 26749,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,"11,15",0.5,3301,0005,0110,Plynas kirtimas,2016-05-16,2016-12-31
A - 26750,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,"11,15",1.3,3301,0005,0111,Plynas kirtimas,2016-05-16,2016-12-31
A - 26803,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,"5,7",0.5,3301,0005,0110,Plynas kirtimas,2016-05-30,2016-12-31
A - 26808,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,410,7,0.6,3340,0007,0416,Plynas sanitarinis kirtimas (TN),2016-06-28,2016-12-31
A - 26818,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,409,53,0.6,3340,0007,0428,Plynas sanitarinis kirtimas (TN),2016-07-04,2016-12-31
A - 26818,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,409,54,0.8,3340,0007,0428,Atrankinis san.kirt.,2016-07-04,2016-12-31
A - 26824,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,448,"22a,67a,68a,68b,69a,69b,70",2.5,3347,0001,0170,Plynas kirtimas,2016-07-07,2016-12-31
A - 26824,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,448,71a,0.3,3347,0001,0170,Plynas kirtimas,2016-07-07,2016-12-31
A - 26833,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,408,26,0.6,3340,0007,0408,Plynas sanitarinis kirtimas (TN),2016-07-15,2016-12-31
A - 26850,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,768,13,0.4,3355,0002,0306,Plynas kirtimas,2016-07-28,2016-12-31
A - 26850,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,768,"3,8",0.2,3355,0002,0306,Atrankinis san.kirt.,2016-07-28,2016-12-31
A - 26913,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,409,54,0.4,3340,0007,0428,Plynas sanitarinis kirtimas (PN),2016-07-29,2016-12-31
A - 26927,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,462,"9,13,16",1.9,3347,0005,0474,Plynas sanitarinis kirtimas (TN),2016-08-02,2016-12-31
A - 26934,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,5,0.5,3301,0005,0005,Plynas kirtimas,2016-08-26,2016-12-31
A - 26934,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,9,0.1,3301,0005,0005,Plynas kirtimas,2016-08-26,2016-12-31
A - 26934,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,9,0.1,3301,0005,0005,Einamasis kirtimas,2016-08-26,2016-12-31
A - 26935,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,477,"5,10",0.2,3301,0005,0005,Plynas sanitarinis kirtimas (PN),2016-08-26,2016-12-31
A - 26971,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,499,10,0.8,3355,0002,0298,Einamasis kirtimas,2016-09-19,2016-12-31
A - 26971,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,499,16,0.1,3355,0002,0298,Retinimas,2016-09-19,2016-12-31
A - 26971,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,499,"18,11",0.8,3355,0002,0298,Plynas kirtimas,2016-09-19,2016-12-31
A - 26973,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,414,20,0.2,3340,0006,0079,Plynas sanitarinis kirtimas (TN),2016-09-26,2016-12-31
A - 26973,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,414,20-23,0.7,3340,0006,0079,Atrankinis san.kirt.,2016-09-26,2016-12-31
A - 26975,Alytaus,Alytaus rajono kontroliuojama teritorija,privati,Alytaus miškų urėdija,Dušnionių girininkija,465,"38a,38c,38e",1.1,3347,0004,0220,Plynas kirtimas,2016-09-26,2016-12-31
